epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,348.669,0.40403,0.9375,1,0.15174,0.00054928,0.00054928,0.00054928
2,592.53,0.20837,0.9375,1,0.2,0.000995557,0.000995557,0.000995557
3,840.03,0.19259,0.94792,1,0.17062,0.00133181,0.00133181,0.00133181
4,1077.65,0.23869,0.9375,1,0.14768,0.0011719,0.0011719,0.0011719
5,1330.33,0.15498,0.91667,1,0.20468,0.00100687,0.00100687,0.00100687
6,1593.87,0.1483,0.97396,1,0.0761,0.000841835,0.000841835,0.000841835
7,1841.38,0.15819,0.98958,1,0.04926,0.000676802,0.000676802,0.000676802
